time,system_demand
1/1/23 0:00,21193
1/1/23 1:00,20695
1/1/23 2:00,20216
1/1/23 3:00,19928
1/1/23 4:00,20040
1/1/23 5:00,20353
1/1/23 6:00,20642
1/1/23 7:00,20533
1/1/23 8:00,20066
1/1/23 9:00,19613
1/1/23 10:00,19464
1/1/23 11:00,19441
1/1/23 12:00,19448
1/1/23 13:00,19680
1/1/23 14:00,19924
1/1/23 15:00,21044
1/1/23 16:00,22896
1/1/23 17:00,24858
1/1/23 18:00,25145
1/1/23 19:00,25004
1/1/23 20:00,24558
1/1/23 21:00,24047
1/1/23 22:00,22933
1/1/23 23:00,21805
1/2/23 0:00,21338
1/2/23 1:00,20680
1/2/23 2:00,20326
1/2/23 3:00,20369
1/2/23 4:00,20717
1/2/23 5:00,21726
1/2/23 6:00,22801
1/2/23 7:00,23142
1/2/23 8:00,23218
1/2/23 9:00,23604
1/2/23 10:00,23876
1/2/23 11:00,24539
1/2/23 12:00,24816
1/2/23 13:00,25538
1/2/23 14:00,26065
1/2/23 15:00,26383
1/2/23 16:00,27584
1/2/23 17:00,28531
1/2/23 18:00,28247
1/2/23 19:00,27534
1/2/23 20:00,26687
1/2/23 21:00,25708
1/2/23 22:00,24261
1/2/23 23:00,23056
1/3/23 0:00,22307
1/3/23 1:00,21904
1/3/23 2:00,21788
1/3/23 3:00,21641
1/3/23 4:00,21946
1/3/23 5:00,23374
1/3/23 6:00,25157
1/3/23 7:00,26452
1/3/23 8:00,27236
1/3/23 9:00,27155
1/3/23 10:00,27009
1/3/23 11:00,26613
1/3/23 12:00,26642
1/3/23 13:00,26488
1/3/23 14:00,26363
1/3/23 15:00,26880
1/3/23 16:00,27924
1/3/23 17:00,29039
1/3/23 18:00,28658
1/3/23 19:00,28139
1/3/23 20:00,27384
1/3/23 21:00,26306
1/3/23 22:00,24827
1/3/23 23:00,23738
1/4/23 0:00,23093
1/4/23 1:00,22544
1/4/23 2:00,22081
1/4/23 3:00,21890
1/4/23 4:00,22237
1/4/23 5:00,23017
1/4/23 6:00,24593
1/4/23 7:00,25750
1/4/23 8:00,26435
1/4/23 9:00,26439
1/4/23 10:00,26593
1/4/23 11:00,26421
1/4/23 12:00,26239
1/4/23 13:00,26064
1/4/23 14:00,25801
1/4/23 15:00,26007
1/4/23 16:00,27005
1/4/23 17:00,28124
1/4/23 18:00,27842
1/4/23 19:00,27060
1/4/23 20:00,26303
1/4/23 21:00,25228
1/4/23 22:00,23960
1/4/23 23:00,23283
1/5/23 0:00,22560
1/5/23 1:00,22111
1/5/23 2:00,21563
1/5/23 3:00,21035
1/5/23 4:00,21118
1/5/23 5:00,22192
1/5/23 6:00,24013
1/5/23 7:00,25299
1/5/23 8:00,26105
1/5/23 9:00,26705
1/5/23 10:00,27344
1/5/23 11:00,27279
1/5/23 12:00,27161
1/5/23 13:00,26262
1/5/23 14:00,25571
1/5/23 15:00,25424
1/5/23 16:00,26285
1/5/23 17:00,27665
1/5/23 18:00,27718
1/5/23 19:00,27155
1/5/23 20:00,26460
1/5/23 21:00,25516
1/5/23 22:00,24126
1/5/23 23:00,22873
1/6/23 0:00,22306
1/6/23 1:00,21889
1/6/23 2:00,21814
1/6/23 3:00,21661
1/6/23 4:00,21993
1/6/23 5:00,23211
1/6/23 6:00,24709
1/6/23 7:00,25747
1/6/23 8:00,25583
1/6/23 9:00,24790
1/6/23 10:00,23879
1/6/23 11:00,23362
1/6/23 12:00,22863
1/6/23 13:00,23102
1/6/23 14:00,23565
1/6/23 15:00,24029
1/6/23 16:00,25650
1/6/23 17:00,27208
1/6/23 18:00,27040
1/6/23 19:00,26596
1/6/23 20:00,26098
1/6/23 21:00,25312
1/6/23 22:00,24081
1/6/23 23:00,22929
1/7/23 0:00,22087
1/7/23 1:00,21719
1/7/23 2:00,21132
1/7/23 3:00,20870
1/7/23 4:00,21090
1/7/23 5:00,21777
1/7/23 6:00,22501
1/7/23 7:00,22995
1/7/23 8:00,23542
1/7/23 9:00,23228
1/7/23 10:00,22904
1/7/23 11:00,22206
1/7/23 12:00,22079
1/7/23 13:00,22126
1/7/23 14:00,22570
1/7/23 15:00,23299
1/7/23 16:00,24448
1/7/23 17:00,25780
1/7/23 18:00,25624
1/7/23 19:00,25245
1/7/23 20:00,24760
1/7/23 21:00,24156
1/7/23 22:00,23413
1/7/23 23:00,22403
1/8/23 0:00,21557
1/8/23 1:00,20751
1/8/23 2:00,20338
1/8/23 3:00,19955
1/8/23 4:00,19968
1/8/23 5:00,20422
1/8/23 6:00,21009
1/8/23 7:00,21522
1/8/23 8:00,21528
1/8/23 9:00,21002
1/8/23 10:00,20628
1/8/23 11:00,20397
1/8/23 12:00,20515
1/8/23 13:00,21032
1/8/23 14:00,21685
1/8/23 15:00,22434
1/8/23 16:00,23822
1/8/23 17:00,25609
1/8/23 18:00,25712
1/8/23 19:00,25345
1/8/23 20:00,24647
1/8/23 21:00,23581
1/8/23 22:00,22309
1/8/23 23:00,21121
1/9/23 0:00,20894
1/9/23 1:00,20833
1/9/23 2:00,21006
1/9/23 3:00,21066
1/9/23 4:00,21346
1/9/23 5:00,22353
1/9/23 6:00,24347
1/9/23 7:00,25998
1/9/23 8:00,26410
1/9/23 9:00,26749
1/9/23 10:00,26810
1/9/23 11:00,26935
1/9/23 12:00,26081
1/9/23 13:00,25702
1/9/23 14:00,25757
1/9/23 15:00,26172
1/9/23 16:00,27047
1/9/23 17:00,27979
1/9/23 18:00,27775
1/9/23 19:00,27147
1/9/23 20:00,26381
1/9/23 21:00,25403
1/9/23 22:00,23899
1/9/23 23:00,22630
1/10/23 0:00,22001
1/10/23 1:00,21445
1/10/23 2:00,21105
1/10/23 3:00,20972
1/10/23 4:00,21412
1/10/23 5:00,22511
1/10/23 6:00,24262
1/10/23 7:00,25820
1/10/23 8:00,26617
1/10/23 9:00,26812
1/10/23 10:00,26685
1/10/23 11:00,26747
1/10/23 12:00,26775
1/10/23 13:00,26263
1/10/23 14:00,25672
1/10/23 15:00,25855
1/10/23 16:00,26884
1/10/23 17:00,28281
1/10/23 18:00,28256
1/10/23 19:00,27701
1/10/23 20:00,27018
1/10/23 21:00,25916
1/10/23 22:00,24518
1/10/23 23:00,23493
1/11/23 0:00,22594
1/11/23 1:00,21997
1/11/23 2:00,21894
1/11/23 3:00,21761
1/11/23 4:00,22183
1/11/23 5:00,23792
1/11/23 6:00,26131
1/11/23 7:00,27392
1/11/23 8:00,27704
1/11/23 9:00,27813
1/11/23 10:00,26886
1/11/23 11:00,26175
1/11/23 12:00,25937
1/11/23 13:00,25887
1/11/23 14:00,26116
1/11/23 15:00,26657
1/11/23 16:00,27901
1/11/23 17:00,29006
1/11/23 18:00,28899
1/11/23 19:00,28354
1/11/23 20:00,27614
1/11/23 21:00,26571
1/11/23 22:00,24963
1/11/23 23:00,23862
1/12/23 0:00,23405
1/12/23 1:00,22844
1/12/23 2:00,22554
1/12/23 3:00,22341
1/12/23 4:00,22410
1/12/23 5:00,23398
1/12/23 6:00,25269
1/12/23 7:00,26191
1/12/23 8:00,26057
1/12/23 9:00,25864
1/12/23 10:00,24657
1/12/23 11:00,23911
1/12/23 12:00,23499
1/12/23 13:00,23271
1/12/23 14:00,22986
1/12/23 15:00,24876
1/12/23 16:00,25411
1/12/23 17:00,26952
1/12/23 18:00,27029
1/12/23 19:00,26454
1/12/23 20:00,25774
1/12/23 21:00,24906
1/12/23 22:00,23707
1/12/23 23:00,22693
1/13/23 0:00,21854
1/13/23 1:00,21285
1/13/23 2:00,20793
1/13/23 3:00,20529
1/13/23 4:00,21107
1/13/23 5:00,22452
1/13/23 6:00,24516
1/13/23 7:00,25724
1/13/23 8:00,25779
1/13/23 9:00,25669
1/13/23 10:00,25692
1/13/23 11:00,25739
1/13/23 12:00,25574
1/13/23 13:00,24760
1/13/23 14:00,24427
1/13/23 15:00,24605
1/13/23 16:00,25644
1/13/23 17:00,27081
1/13/23 18:00,26797
1/13/23 19:00,26246
1/13/23 20:00,25559
1/13/23 21:00,24781
1/13/23 22:00,23391
1/13/23 23:00,22106
1/14/23 0:00,21534
1/14/23 1:00,20914
1/14/23 2:00,20405
1/14/23 3:00,20181
1/14/23 4:00,20249
1/14/23 5:00,20816
1/14/23 6:00,21689
1/14/23 7:00,22228
1/14/23 8:00,23148
1/14/23 9:00,23941
1/14/23 10:00,24310
1/14/23 11:00,24286
1/14/23 12:00,24400
1/14/23 13:00,24773
1/14/23 14:00,24901
1/14/23 15:00,25169
1/14/23 16:00,25703
1/14/23 17:00,26548
1/14/23 18:00,26209
1/14/23 19:00,25916
1/14/23 20:00,25188
1/14/23 21:00,24288
1/14/23 22:00,23193
1/14/23 23:00,21966
1/15/23 0:00,21053
1/15/23 1:00,20584
1/15/23 2:00,20273
1/15/23 3:00,19914
1/15/23 4:00,20098
1/15/23 5:00,20543
1/15/23 6:00,21178
1/15/23 7:00,21502
1/15/23 8:00,22237
1/15/23 9:00,22722
1/15/23 10:00,22947
1/15/23 11:00,22815
1/15/23 12:00,22860
1/15/23 13:00,23242
1/15/23 14:00,23948
1/15/23 15:00,24571
1/15/23 16:00,25355
1/15/23 17:00,26459
1/15/23 18:00,26454
1/15/23 19:00,25984
1/15/23 20:00,25303
1/15/23 21:00,24559
1/15/23 22:00,23305
1/15/23 23:00,22086
1/16/23 0:00,21648
1/16/23 1:00,21047
1/16/23 2:00,20828
1/16/23 3:00,20683
1/16/23 4:00,21053
1/16/23 5:00,22280
1/16/23 6:00,23668
1/16/23 7:00,24488
1/16/23 8:00,25111
1/16/23 9:00,25531
1/16/23 10:00,24928
1/16/23 11:00,24539
1/16/23 12:00,24556
1/16/23 13:00,24360
1/16/23 14:00,24497
1/16/23 15:00,25150
1/16/23 16:00,26498
1/16/23 17:00,28366
1/16/23 18:00,28322
1/16/23 19:00,27743
1/16/23 20:00,27062
1/16/23 21:00,25991
1/16/23 22:00,24430
1/16/23 23:00,22982
1/17/23 0:00,22397
1/17/23 1:00,21901
1/17/23 2:00,21692
1/17/23 3:00,21735
1/17/23 4:00,22056
1/17/23 5:00,23663
1/17/23 6:00,26051
1/17/23 7:00,27363
1/17/23 8:00,27096
1/17/23 9:00,26041
1/17/23 10:00,25089
1/17/23 11:00,24192
1/17/23 12:00,23292
1/17/23 13:00,22740
1/17/23 14:00,22546
1/17/23 15:00,23719
1/17/23 16:00,25955
1/17/23 17:00,28175
1/17/23 18:00,28599
1/17/23 19:00,28197
1/17/23 20:00,27549
1/17/23 21:00,26685
1/17/23 22:00,25391
1/17/23 23:00,24062
1/18/23 0:00,23445
1/18/23 1:00,22885
1/18/23 2:00,22635
1/18/23 3:00,22364
1/18/23 4:00,22864
1/18/23 5:00,24471
1/18/23 6:00,26778
1/18/23 7:00,27743
1/18/23 8:00,27008
1/18/23 9:00,25561
1/18/23 10:00,24523
